separation_distance,capacitance
6.107000000000000206e-01,4.191038000000000000e+06
6.107000000000000206e-01,4.187273000000000000e+06
6.107000000000000206e-01,4.190211000000000000e+06
6.107000000000000206e-01,4.187416000000000000e+06
6.107000000000000206e-01,4.190443000000000000e+06
6.107000000000000206e-01,4.188606000000000000e+06
6.107000000000000206e-01,4.189078000000000000e+06
6.107000000000000206e-01,4.187688000000000000e+06
6.107000000000000206e-01,4.189741000000000000e+06
6.107000000000000206e-01,4.188432000000000000e+06
6.107000000000000206e-01,4.187559000000000000e+06
6.107000000000000206e-01,4.188447000000000000e+06
6.107000000000000206e-01,4.190217000000000000e+06
6.107000000000000206e-01,4.189659000000000000e+06
6.107000000000000206e-01,4.188171000000000000e+06
6.107000000000000206e-01,4.189621000000000000e+06
6.107000000000000206e-01,4.189584000000000000e+06
6.107000000000000206e-01,4.188249000000000000e+06
6.107000000000000206e-01,4.189804000000000000e+06
6.107000000000000206e-01,4.188008000000000000e+06
6.107000000000000206e-01,4.189235000000000000e+06
6.107000000000000206e-01,4.188297000000000000e+06
6.107000000000000206e-01,4.188190000000000000e+06
6.107000000000000206e-01,4.188512000000000000e+06
6.107000000000000206e-01,4.190653000000000000e+06
6.107000000000000206e-01,4.190035000000000000e+06
6.107000000000000206e-01,4.190119000000000000e+06
6.107000000000000206e-01,4.188940000000000000e+06
6.107000000000000206e-01,4.191162000000000000e+06
6.107000000000000206e-01,4.189730000000000000e+06
6.107000000000000206e-01,4.188225000000000000e+06
6.107000000000000206e-01,4.187334000000000000e+06
6.107000000000000206e-01,4.188593000000000000e+06
6.107000000000000206e-01,4.188298000000000000e+06
6.107000000000000206e-01,4.189272000000000000e+06
6.107000000000000206e-01,4.187913000000000000e+06
6.107000000000000206e-01,4.189235000000000000e+06
6.107000000000000206e-01,4.188254000000000000e+06
6.107000000000000206e-01,4.188154000000000000e+06
6.107000000000000206e-01,4.187242000000000000e+06
6.107000000000000206e-01,4.188505000000000000e+06
6.107000000000000206e-01,4.188314000000000000e+06
6.107000000000000206e-01,4.186692000000000000e+06
6.107000000000000206e-01,4.188122000000000000e+06
6.107000000000000206e-01,4.190441000000000000e+06
6.107000000000000206e-01,4.186678000000000000e+06
6.107000000000000206e-01,4.189425000000000000e+06
6.107000000000000206e-01,4.188613000000000000e+06
6.107000000000000206e-01,4.187861000000000000e+06
6.107000000000000206e-01,4.189011000000000000e+06
6.107000000000000206e-01,4.190795000000000000e+06
6.107000000000000206e-01,4.188557000000000000e+06
6.107000000000000206e-01,4.189188000000000000e+06
6.107000000000000206e-01,4.189182000000000000e+06
6.107000000000000206e-01,4.186807000000000000e+06
6.107000000000000206e-01,4.189435000000000000e+06
6.107000000000000206e-01,4.187582000000000000e+06
6.107000000000000206e-01,4.187790000000000000e+06
6.107000000000000206e-01,4.189371000000000000e+06
6.107000000000000206e-01,4.188984000000000000e+06
6.107000000000000206e-01,4.189259000000000000e+06
6.107000000000000206e-01,4.188919000000000000e+06
6.107000000000000206e-01,4.189802000000000000e+06
6.107000000000000206e-01,4.188568000000000000e+06
6.107000000000000206e-01,4.189707000000000000e+06
6.107000000000000206e-01,4.187328000000000000e+06
6.107000000000000206e-01,4.189378000000000000e+06
6.107000000000000206e-01,4.188271000000000000e+06
6.107000000000000206e-01,4.189953000000000000e+06
6.107000000000000206e-01,4.190485000000000000e+06
6.107000000000000206e-01,4.189151000000000000e+06
6.107000000000000206e-01,4.190424000000000000e+06
6.107000000000000206e-01,4.188253000000000000e+06
6.107000000000000206e-01,4.189160000000000000e+06
6.107000000000000206e-01,4.188779000000000000e+06
6.107000000000000206e-01,4.187616000000000000e+06
6.107000000000000206e-01,4.188160000000000000e+06
6.107000000000000206e-01,4.188141000000000000e+06
6.107000000000000206e-01,4.189065000000000000e+06
6.107000000000000206e-01,4.187551000000000000e+06
6.107000000000000206e-01,4.188964000000000000e+06
6.107000000000000206e-01,4.188491000000000000e+06
6.107000000000000206e-01,4.190116000000000000e+06
6.107000000000000206e-01,4.190297000000000000e+06
6.107000000000000206e-01,4.190595000000000000e+06
6.107000000000000206e-01,4.187447000000000000e+06
6.107000000000000206e-01,4.191817000000000000e+06
6.107000000000000206e-01,4.188181000000000000e+06
6.107000000000000206e-01,4.186872000000000000e+06
6.107000000000000206e-01,4.189826000000000000e+06
6.107000000000000206e-01,4.190288000000000000e+06
6.107000000000000206e-01,4.190937000000000000e+06
6.107000000000000206e-01,4.190039000000000000e+06
6.107000000000000206e-01,4.189027000000000000e+06
6.107000000000000206e-01,4.190623000000000000e+06
6.107000000000000206e-01,4.187687000000000000e+06
6.107000000000000206e-01,4.188726000000000000e+06
6.107000000000000206e-01,4.189168000000000000e+06
6.107000000000000206e-01,4.188250000000000000e+06
6.107000000000000206e-01,4.187662000000000000e+06
6.107000000000000206e-01,4.188199000000000000e+06
6.107000000000000206e-01,4.190764000000000000e+06
6.107000000000000206e-01,4.188926000000000000e+06
6.107000000000000206e-01,4.186834000000000000e+06
6.107000000000000206e-01,4.189406000000000000e+06
6.107000000000000206e-01,4.188602000000000000e+06
6.107000000000000206e-01,4.190555000000000000e+06
6.107000000000000206e-01,4.189164000000000000e+06
6.107000000000000206e-01,4.188679000000000000e+06
6.107000000000000206e-01,4.189783000000000000e+06
6.107000000000000206e-01,4.188482000000000000e+06
6.106000000000000316e-01,4.192657000000000000e+06
6.106000000000000316e-01,4.192249000000000000e+06
6.106000000000000316e-01,4.193552000000000000e+06
6.106000000000000316e-01,4.193509000000000000e+06
6.106000000000000316e-01,4.192978000000000000e+06
6.106000000000000316e-01,4.192177000000000000e+06
6.106000000000000316e-01,4.193236000000000000e+06
6.106000000000000316e-01,4.192023000000000000e+06
6.106000000000000316e-01,4.194183000000000000e+06
6.106000000000000316e-01,4.192321000000000000e+06
6.106000000000000316e-01,4.193268000000000000e+06
6.106000000000000316e-01,4.191721000000000000e+06
6.106000000000000316e-01,4.192112000000000000e+06
6.106000000000000316e-01,4.193199000000000000e+06
6.106000000000000316e-01,4.193162000000000000e+06
6.106000000000000316e-01,4.192530000000000000e+06
6.106000000000000316e-01,4.193302000000000000e+06
6.106000000000000316e-01,4.192751000000000000e+06
6.106000000000000316e-01,4.195177000000000000e+06
6.106000000000000316e-01,4.193148000000000000e+06
6.106000000000000316e-01,4.194362000000000000e+06
6.106000000000000316e-01,4.193446000000000000e+06
6.106000000000000316e-01,4.193531000000000000e+06
6.106000000000000316e-01,4.192602000000000000e+06
6.106000000000000316e-01,4.194077000000000000e+06
6.106000000000000316e-01,4.190158000000000000e+06
6.106000000000000316e-01,4.193067000000000000e+06
6.106000000000000316e-01,4.192105000000000000e+06
6.106000000000000316e-01,4.191803000000000000e+06
6.106000000000000316e-01,4.192778000000000000e+06
6.106000000000000316e-01,4.193471000000000000e+06
6.106000000000000316e-01,4.193627000000000000e+06
6.106000000000000316e-01,4.190902000000000000e+06
6.106000000000000316e-01,4.194513000000000000e+06
6.106000000000000316e-01,4.191054000000000000e+06
6.106000000000000316e-01,4.191872000000000000e+06
6.106000000000000316e-01,4.192009000000000000e+06
6.106000000000000316e-01,4.190373000000000000e+06
6.106000000000000316e-01,4.192137000000000000e+06
6.106000000000000316e-01,4.191473000000000000e+06
6.106000000000000316e-01,4.192120000000000000e+06
6.106000000000000316e-01,4.192153000000000000e+06
6.106000000000000316e-01,4.192034000000000000e+06
6.106000000000000316e-01,4.192516000000000000e+06
6.106000000000000316e-01,4.191432000000000000e+06
6.106000000000000316e-01,4.190122000000000000e+06
6.106000000000000316e-01,4.191397000000000000e+06
6.106000000000000316e-01,4.193153000000000000e+06
6.106000000000000316e-01,4.194381000000000000e+06
6.106000000000000316e-01,4.192207000000000000e+06
6.106000000000000316e-01,4.193437000000000000e+06
6.106000000000000316e-01,4.193752000000000000e+06
6.106000000000000316e-01,4.193442000000000000e+06
6.106000000000000316e-01,4.192289000000000000e+06
6.106000000000000316e-01,4.191703000000000000e+06
6.106000000000000316e-01,4.191539000000000000e+06
6.106000000000000316e-01,4.191779000000000000e+06
6.106000000000000316e-01,4.192256000000000000e+06
6.106000000000000316e-01,4.191602000000000000e+06
6.106000000000000316e-01,4.193524000000000000e+06
6.106000000000000316e-01,4.190756000000000000e+06
6.106000000000000316e-01,4.191733000000000000e+06
6.106000000000000316e-01,4.193162000000000000e+06
6.106000000000000316e-01,4.193422000000000000e+06
6.106000000000000316e-01,4.192792000000000000e+06
6.106000000000000316e-01,4.193804000000000000e+06
6.106000000000000316e-01,4.192396000000000000e+06
6.106000000000000316e-01,4.192317000000000000e+06
6.106000000000000316e-01,4.191814000000000000e+06
6.106000000000000316e-01,4.189266000000000000e+06
6.106000000000000316e-01,4.192168000000000000e+06
6.106000000000000316e-01,4.191868000000000000e+06
6.106000000000000316e-01,4.194107000000000000e+06
6.106000000000000316e-01,4.192458000000000000e+06
6.106000000000000316e-01,4.193390000000000000e+06
6.106000000000000316e-01,4.192582000000000000e+06
6.106000000000000316e-01,4.193037000000000000e+06
6.106000000000000316e-01,4.191888000000000000e+06
6.106000000000000316e-01,4.193830000000000000e+06
6.106000000000000316e-01,4.192126000000000000e+06
6.106000000000000316e-01,4.193555000000000000e+06
6.106000000000000316e-01,4.189663000000000000e+06
6.106000000000000316e-01,4.193521000000000000e+06
6.106000000000000316e-01,4.191843000000000000e+06
6.106000000000000316e-01,4.193971000000000000e+06
6.106000000000000316e-01,4.192674000000000000e+06
6.106000000000000316e-01,4.191642000000000000e+06
6.106000000000000316e-01,4.193845000000000000e+06
6.106000000000000316e-01,4.189815000000000000e+06
6.106000000000000316e-01,4.192385000000000000e+06
6.106000000000000316e-01,4.193729000000000000e+06
6.106000000000000316e-01,4.192811000000000000e+06
6.106000000000000316e-01,4.191629000000000000e+06
6.106000000000000316e-01,4.192359000000000000e+06
6.106000000000000316e-01,4.190943000000000000e+06
6.106000000000000316e-01,4.192332000000000000e+06
6.106000000000000316e-01,4.192568000000000000e+06
6.106000000000000316e-01,4.192043000000000000e+06
6.106000000000000316e-01,4.193102000000000000e+06
6.106000000000000316e-01,4.191150000000000000e+06
6.106000000000000316e-01,4.193611000000000000e+06
6.106000000000000316e-01,4.191681000000000000e+06
6.106000000000000316e-01,4.192069000000000000e+06
6.106000000000000316e-01,4.191065000000000000e+06
6.106000000000000316e-01,4.192986000000000000e+06
6.106000000000000316e-01,4.192998000000000000e+06
6.106000000000000316e-01,4.192870000000000000e+06
6.106000000000000316e-01,4.191706000000000000e+06
6.106000000000000316e-01,4.191407000000000000e+06
6.106000000000000316e-01,4.193701000000000000e+06
6.105000000000000426e-01,4.191959000000000000e+06
6.105000000000000426e-01,4.192337000000000000e+06
6.105000000000000426e-01,4.192235000000000000e+06
6.105000000000000426e-01,4.192281000000000000e+06
6.105000000000000426e-01,4.191738000000000000e+06
6.105000000000000426e-01,4.193327000000000000e+06
6.105000000000000426e-01,4.193117000000000000e+06
6.105000000000000426e-01,4.191542000000000000e+06
6.105000000000000426e-01,4.192989000000000000e+06
6.105000000000000426e-01,4.194981000000000000e+06
6.105000000000000426e-01,4.194346000000000000e+06
6.105000000000000426e-01,4.195195000000000000e+06
6.105000000000000426e-01,4.194522000000000000e+06
6.105000000000000426e-01,4.191321000000000000e+06
6.105000000000000426e-01,4.193349000000000000e+06
6.105000000000000426e-01,4.192784000000000000e+06
6.105000000000000426e-01,4.191664000000000000e+06
6.105000000000000426e-01,4.192156000000000000e+06
6.105000000000000426e-01,4.193722000000000000e+06
6.105000000000000426e-01,4.191831000000000000e+06
6.105000000000000426e-01,4.192453000000000000e+06
6.105000000000000426e-01,4.194253000000000000e+06
6.105000000000000426e-01,4.193466000000000000e+06
6.105000000000000426e-01,4.191595000000000000e+06
6.105000000000000426e-01,4.193857000000000000e+06
6.105000000000000426e-01,4.192843000000000000e+06
6.105000000000000426e-01,4.192645000000000000e+06
6.105000000000000426e-01,4.193933000000000000e+06
6.105000000000000426e-01,4.195636000000000000e+06
6.105000000000000426e-01,4.193064000000000000e+06
6.105000000000000426e-01,4.195828000000000000e+06
6.105000000000000426e-01,4.189687000000000000e+06
6.105000000000000426e-01,4.194766000000000000e+06
6.105000000000000426e-01,4.194183000000000000e+06
6.105000000000000426e-01,4.192311000000000000e+06
6.105000000000000426e-01,4.191639000000000000e+06
6.105000000000000426e-01,4.193417000000000000e+06
6.105000000000000426e-01,4.193132000000000000e+06
6.105000000000000426e-01,4.191590000000000000e+06
6.105000000000000426e-01,4.193377000000000000e+06
6.105000000000000426e-01,4.190652000000000000e+06
6.105000000000000426e-01,4.193054000000000000e+06
6.105000000000000426e-01,4.194584000000000000e+06
6.105000000000000426e-01,4.193256000000000000e+06
6.105000000000000426e-01,4.194351000000000000e+06
6.105000000000000426e-01,4.191463000000000000e+06
6.105000000000000426e-01,4.193486000000000000e+06
6.105000000000000426e-01,4.191248000000000000e+06
6.105000000000000426e-01,4.192069000000000000e+06
6.105000000000000426e-01,4.193007000000000000e+06
6.105000000000000426e-01,4.194053000000000000e+06
6.105000000000000426e-01,4.192343000000000000e+06
6.105000000000000426e-01,4.191027000000000000e+06
6.105000000000000426e-01,4.191926000000000000e+06
6.105000000000000426e-01,4.191695000000000000e+06
6.105000000000000426e-01,4.192373000000000000e+06
6.105000000000000426e-01,4.193442000000000000e+06
6.105000000000000426e-01,4.193484000000000000e+06
6.105000000000000426e-01,4.194355000000000000e+06
6.105000000000000426e-01,4.192714000000000000e+06
6.105000000000000426e-01,4.192476000000000000e+06
6.105000000000000426e-01,4.193972000000000000e+06
6.105000000000000426e-01,4.193929000000000000e+06
6.105000000000000426e-01,4.193509000000000000e+06
6.105000000000000426e-01,4.192518000000000000e+06
6.105000000000000426e-01,4.192500000000000000e+06
6.105000000000000426e-01,4.192062000000000000e+06
6.105000000000000426e-01,4.191786000000000000e+06
6.105000000000000426e-01,4.192937000000000000e+06
6.105000000000000426e-01,4.194341000000000000e+06
6.105000000000000426e-01,4.193112000000000000e+06
6.105000000000000426e-01,4.193674000000000000e+06
6.105000000000000426e-01,4.193405000000000000e+06
6.105000000000000426e-01,4.191813000000000000e+06
6.105000000000000426e-01,4.192292000000000000e+06
6.105000000000000426e-01,4.192136000000000000e+06
6.105000000000000426e-01,4.193084000000000000e+06
6.105000000000000426e-01,4.193530000000000000e+06
6.105000000000000426e-01,4.194710000000000000e+06
6.105000000000000426e-01,4.193514000000000000e+06
6.105000000000000426e-01,4.193304000000000000e+06
6.105000000000000426e-01,4.194739000000000000e+06
6.105000000000000426e-01,4.194246000000000000e+06
6.105000000000000426e-01,4.192772000000000000e+06
6.105000000000000426e-01,4.191898000000000000e+06
6.105000000000000426e-01,4.192379000000000000e+06
6.105000000000000426e-01,4.192055000000000000e+06
6.105000000000000426e-01,4.194569000000000000e+06
6.105000000000000426e-01,4.192184000000000000e+06
6.105000000000000426e-01,4.192787000000000000e+06
6.105000000000000426e-01,4.192622000000000000e+06
6.105000000000000426e-01,4.191551000000000000e+06
6.105000000000000426e-01,4.192608000000000000e+06
6.105000000000000426e-01,4.193775000000000000e+06
6.105000000000000426e-01,4.193713000000000000e+06
6.105000000000000426e-01,4.192691000000000000e+06
6.105000000000000426e-01,4.193449000000000000e+06
6.105000000000000426e-01,4.192517000000000000e+06
6.105000000000000426e-01,4.192912000000000000e+06
6.105000000000000426e-01,4.192956000000000000e+06
6.104000000000000536e-01,4.193007000000000000e+06
6.104000000000000536e-01,4.192551000000000000e+06
6.104000000000000536e-01,4.194120000000000000e+06
6.104000000000000536e-01,4.193386000000000000e+06
6.104000000000000536e-01,4.191538000000000000e+06
6.104000000000000536e-01,4.193516000000000000e+06
6.104000000000000536e-01,4.193824000000000000e+06
6.104000000000000536e-01,4.193356000000000000e+06
6.104000000000000536e-01,4.193057000000000000e+06
6.104000000000000536e-01,4.191348000000000000e+06
6.104000000000000536e-01,4.194298000000000000e+06
6.104000000000000536e-01,4.192201000000000000e+06
6.104000000000000536e-01,4.193243000000000000e+06
6.104000000000000536e-01,4.191936000000000000e+06
6.104000000000000536e-01,4.193318000000000000e+06
6.104000000000000536e-01,4.193842000000000000e+06
6.104000000000000536e-01,4.192520000000000000e+06
6.104000000000000536e-01,4.194557000000000000e+06
6.104000000000000536e-01,4.192458000000000000e+06
6.104000000000000536e-01,4.192192000000000000e+06
6.104000000000000536e-01,4.192653000000000000e+06
6.104000000000000536e-01,4.194456000000000000e+06
6.104000000000000536e-01,4.191641000000000000e+06
6.104000000000000536e-01,4.193664000000000000e+06
6.104000000000000536e-01,4.193198000000000000e+06
6.104000000000000536e-01,4.192700000000000000e+06
6.104000000000000536e-01,4.192742000000000000e+06
6.104000000000000536e-01,4.194080000000000000e+06
6.104000000000000536e-01,4.191173000000000000e+06
6.104000000000000536e-01,4.193703000000000000e+06
6.104000000000000536e-01,4.194472000000000000e+06
6.104000000000000536e-01,4.192050000000000000e+06
6.104000000000000536e-01,4.192325000000000000e+06
6.104000000000000536e-01,4.193384000000000000e+06
6.104000000000000536e-01,4.192796000000000000e+06
6.104000000000000536e-01,4.194614000000000000e+06
6.104000000000000536e-01,4.192850000000000000e+06
6.104000000000000536e-01,4.194066000000000000e+06
6.104000000000000536e-01,4.193377000000000000e+06
6.104000000000000536e-01,4.191102000000000000e+06
6.104000000000000536e-01,4.194572000000000000e+06
6.104000000000000536e-01,4.194139000000000000e+06
6.104000000000000536e-01,4.193649000000000000e+06
6.104000000000000536e-01,4.192297000000000000e+06
6.104000000000000536e-01,4.193278000000000000e+06
6.104000000000000536e-01,4.192925000000000000e+06
6.104000000000000536e-01,4.192101000000000000e+06
6.104000000000000536e-01,4.192434000000000000e+06
6.104000000000000536e-01,4.192463000000000000e+06
6.104000000000000536e-01,4.192812000000000000e+06
6.104000000000000536e-01,4.191025000000000000e+06
6.104000000000000536e-01,4.193837000000000000e+06
6.104000000000000536e-01,4.194398000000000000e+06
6.104000000000000536e-01,4.190929000000000000e+06
6.104000000000000536e-01,4.192873000000000000e+06
6.104000000000000536e-01,4.191930000000000000e+06
6.104000000000000536e-01,4.193642000000000000e+06
6.104000000000000536e-01,4.191150000000000000e+06
6.104000000000000536e-01,4.193512000000000000e+06
6.104000000000000536e-01,4.192000000000000000e+06
6.104000000000000536e-01,4.194385000000000000e+06
6.104000000000000536e-01,4.191409000000000000e+06
6.104000000000000536e-01,4.192356000000000000e+06
6.104000000000000536e-01,4.191345000000000000e+06
6.104000000000000536e-01,4.192748000000000000e+06
6.104000000000000536e-01,4.191960000000000000e+06
6.104000000000000536e-01,4.194580000000000000e+06
6.104000000000000536e-01,4.192630000000000000e+06
6.104000000000000536e-01,4.190827000000000000e+06
6.104000000000000536e-01,4.194241000000000000e+06
6.104000000000000536e-01,4.192746000000000000e+06
6.104000000000000536e-01,4.192641000000000000e+06
6.104000000000000536e-01,4.195048000000000000e+06
6.104000000000000536e-01,4.193235000000000000e+06
6.104000000000000536e-01,4.191841000000000000e+06
6.104000000000000536e-01,4.193169000000000000e+06
6.104000000000000536e-01,4.193722000000000000e+06
6.104000000000000536e-01,4.193672000000000000e+06
6.104000000000000536e-01,4.192430000000000000e+06
6.104000000000000536e-01,4.192329000000000000e+06
6.104000000000000536e-01,4.193480000000000000e+06
6.104000000000000536e-01,4.192134000000000000e+06
6.104000000000000536e-01,4.192155000000000000e+06
6.104000000000000536e-01,4.193354000000000000e+06
6.104000000000000536e-01,4.191367000000000000e+06
6.104000000000000536e-01,4.193263000000000000e+06
6.104000000000000536e-01,4.193197000000000000e+06
6.104000000000000536e-01,4.193546000000000000e+06
6.104000000000000536e-01,4.194016000000000000e+06
6.104000000000000536e-01,4.193564000000000000e+06
6.104000000000000536e-01,4.191610000000000000e+06
6.104000000000000536e-01,4.193396000000000000e+06
6.104000000000000536e-01,4.193411000000000000e+06
6.104000000000000536e-01,4.192843000000000000e+06
6.104000000000000536e-01,4.192492000000000000e+06
6.104000000000000536e-01,4.191704000000000000e+06
6.104000000000000536e-01,4.191359000000000000e+06
6.104000000000000536e-01,4.192990000000000000e+06
6.104000000000000536e-01,4.191903000000000000e+06
6.104000000000000536e-01,4.192175000000000000e+06
6.103000000000000647e-01,4.192039000000000000e+06
6.103000000000000647e-01,4.191803000000000000e+06
6.103000000000000647e-01,4.194061000000000000e+06
6.103000000000000647e-01,4.193412000000000000e+06
6.103000000000000647e-01,4.192564000000000000e+06
6.103000000000000647e-01,4.191616000000000000e+06
6.103000000000000647e-01,4.193330000000000000e+06
6.103000000000000647e-01,4.192146000000000000e+06
6.103000000000000647e-01,4.191747000000000000e+06
6.103000000000000647e-01,4.192717000000000000e+06
6.103000000000000647e-01,4.193535000000000000e+06
6.103000000000000647e-01,4.193591000000000000e+06
6.103000000000000647e-01,4.192276000000000000e+06
6.103000000000000647e-01,4.192558000000000000e+06
6.103000000000000647e-01,4.192826000000000000e+06
6.103000000000000647e-01,4.193726000000000000e+06
6.103000000000000647e-01,4.192245000000000000e+06
6.103000000000000647e-01,4.194410000000000000e+06
6.103000000000000647e-01,4.193438000000000000e+06
6.103000000000000647e-01,4.194747000000000000e+06
6.103000000000000647e-01,4.193612000000000000e+06
6.103000000000000647e-01,4.194164000000000000e+06
6.103000000000000647e-01,4.193512000000000000e+06
6.103000000000000647e-01,4.192193000000000000e+06
6.103000000000000647e-01,4.193021000000000000e+06
6.103000000000000647e-01,4.191369000000000000e+06
6.103000000000000647e-01,4.193822000000000000e+06
6.103000000000000647e-01,4.193757000000000000e+06
6.103000000000000647e-01,4.193402000000000000e+06
6.103000000000000647e-01,4.193941000000000000e+06
6.103000000000000647e-01,4.192635000000000000e+06
6.103000000000000647e-01,4.193518000000000000e+06
6.103000000000000647e-01,4.192172000000000000e+06
6.103000000000000647e-01,4.191740000000000000e+06
6.103000000000000647e-01,4.194249000000000000e+06
6.103000000000000647e-01,4.191714000000000000e+06
6.103000000000000647e-01,4.194622000000000000e+06
6.103000000000000647e-01,4.191955000000000000e+06
6.103000000000000647e-01,4.192928000000000000e+06
6.103000000000000647e-01,4.193220000000000000e+06
6.103000000000000647e-01,4.192778000000000000e+06
6.103000000000000647e-01,4.193944000000000000e+06
6.103000000000000647e-01,4.194048000000000000e+06
6.103000000000000647e-01,4.191609000000000000e+06
6.103000000000000647e-01,4.191606000000000000e+06
6.103000000000000647e-01,4.193086000000000000e+06
6.103000000000000647e-01,4.192855000000000000e+06
6.103000000000000647e-01,4.192731000000000000e+06
6.103000000000000647e-01,4.191913000000000000e+06
6.103000000000000647e-01,4.190826000000000000e+06
6.103000000000000647e-01,4.192368000000000000e+06
6.103000000000000647e-01,4.191284000000000000e+06
6.103000000000000647e-01,4.194671000000000000e+06
6.103000000000000647e-01,4.192614000000000000e+06
6.103000000000000647e-01,4.193207000000000000e+06
6.103000000000000647e-01,4.193012000000000000e+06
6.103000000000000647e-01,4.192922000000000000e+06
6.103000000000000647e-01,4.192218000000000000e+06
6.103000000000000647e-01,4.193553000000000000e+06
6.103000000000000647e-01,4.191847000000000000e+06
6.103000000000000647e-01,4.192017000000000000e+06
6.103000000000000647e-01,4.193167000000000000e+06
6.103000000000000647e-01,4.192289000000000000e+06
6.103000000000000647e-01,4.191163000000000000e+06
6.103000000000000647e-01,4.193610000000000000e+06
6.103000000000000647e-01,4.193793000000000000e+06
6.103000000000000647e-01,4.194229000000000000e+06
6.103000000000000647e-01,4.193124000000000000e+06
6.103000000000000647e-01,4.195136000000000000e+06
6.103000000000000647e-01,4.194324000000000000e+06
6.103000000000000647e-01,4.194088000000000000e+06
6.103000000000000647e-01,4.192122000000000000e+06
6.103000000000000647e-01,4.194591000000000000e+06
6.103000000000000647e-01,4.193760000000000000e+06
6.103000000000000647e-01,4.192415000000000000e+06
6.103000000000000647e-01,4.191097000000000000e+06
6.103000000000000647e-01,4.192368000000000000e+06
6.103000000000000647e-01,4.194642000000000000e+06
6.103000000000000647e-01,4.192111000000000000e+06
6.103000000000000647e-01,4.193344000000000000e+06
6.103000000000000647e-01,4.194943000000000000e+06
6.103000000000000647e-01,4.192549000000000000e+06
6.103000000000000647e-01,4.193787000000000000e+06
6.103000000000000647e-01,4.192327000000000000e+06
6.103000000000000647e-01,4.191319000000000000e+06
6.103000000000000647e-01,4.192388000000000000e+06
6.103000000000000647e-01,4.194624000000000000e+06
6.103000000000000647e-01,4.192561000000000000e+06
6.103000000000000647e-01,4.193748000000000000e+06
6.103000000000000647e-01,4.191622000000000000e+06
6.103000000000000647e-01,4.192681000000000000e+06
6.103000000000000647e-01,4.193401000000000000e+06
6.103000000000000647e-01,4.193831000000000000e+06
6.103000000000000647e-01,4.191869000000000000e+06
6.103000000000000647e-01,4.193668000000000000e+06
6.103000000000000647e-01,4.193960000000000000e+06
6.103000000000000647e-01,4.192253000000000000e+06
6.103000000000000647e-01,4.192761000000000000e+06
6.103000000000000647e-01,4.192811000000000000e+06
6.103000000000000647e-01,4.193427000000000000e+06
6.103000000000000647e-01,4.194803000000000000e+06
6.103000000000000647e-01,4.192039000000000000e+06
6.103000000000000647e-01,4.190841000000000000e+06
6.103000000000000647e-01,4.193769000000000000e+06
6.103000000000000647e-01,4.190344000000000000e+06
6.103000000000000647e-01,4.194369000000000000e+06
6.103000000000000647e-01,4.193276000000000000e+06
6.103000000000000647e-01,4.193965000000000000e+06
6.103000000000000647e-01,4.191812000000000000e+06
6.103000000000000647e-01,4.194906000000000000e+06
6.102000000000000757e-01,4.193649000000000000e+06
6.102000000000000757e-01,4.192682000000000000e+06
